"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USC00041312","CALISTOGA, CA US","1980-04-05","0.89",,,
"USC00041312","CALISTOGA, CA US","1980-04-06","0.20",,,
"USC00041312","CALISTOGA, CA US","1980-04-07","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-08","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-09","0.15",,,
"USC00041312","CALISTOGA, CA US","1980-04-10","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-11","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-12","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-13","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-14","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-15","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-16","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-17","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-18","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-19","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-20","0.48",,,
"USC00041312","CALISTOGA, CA US","1980-04-21","0.27",,,
"USC00041312","CALISTOGA, CA US","1980-04-22","0.02",,,
"USC00041312","CALISTOGA, CA US","1980-04-23","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-24","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-25","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-26","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-27","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-28","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-29","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-04-30","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-01","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-02","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-03","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-04","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-05","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-06","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-07","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-08","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-09","0.39",,,
"USC00041312","CALISTOGA, CA US","1980-05-10","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-11","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-12","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-13","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-14","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-15","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-16","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-17","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-18","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-19","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-20","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-21","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-22","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-23","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-24","0.15",,,
"USC00041312","CALISTOGA, CA US","1980-05-25","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-26","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-27","0.00",,,
"USC00041312","CALISTOGA, CA US","1980-05-28","0.00",,,
