"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT08","WT09","WT10","WT11","WT13","WT14","WT16","WT18","WT19","WT21","WT22"
"USC00047965","SANTA ROSA, CA US","2001-02-28","0.00",,"66","48",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-01","0.00",,"70","54",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-02","0.00",,"77","49",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-03","0.00",,"77","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-04","0.00",,"77","52",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-05","0.00",,"81","50",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-06","0.00",,"85","54",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-07","0.00",,"91","60",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-08","0.00",,"77","53",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-09","0.00",,"78","49",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-10","0.00",,"79","48",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-11","0.00",,"81","53",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-12","0.00",,"85","56",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-13","0.00",,"90","59",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-14","0.00",,"92","57",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-15","0.00",,"90","54",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-16","0.00",,"93","54",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-17","0.00",,"89","54",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-18","0.00",,"90","53",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-19","0.00",,"92","61",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-20","0.00",,"96","61",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-21","0.00",,"88","57",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-22","0.00",,"84","57",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-23","0.00",,"73","47",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-24","0.00",,"74","48",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-25","0.00",,"74","48",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-26","0.00",,"71","53",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-27","0.44",,"63","59",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-28","0.04",,"77","58",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-29","0.00",,"86","54",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-06-30","0.00",,"87","55",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-01","0.00",,"88","54",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-02","0.00",,"98","55",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-03","0.00",,"101","65",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-04","0.00",,"93","58",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-05","0.00",,"81","52",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-06","0.00",,"80","52",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-07","0.00",,"84","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-08","0.00",,"82","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-09","0.00",,"69","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-10","0.00",,"67","53",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-11","0.00",,"67","54",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-12","0.00",,"73","55",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-13","0.00",,"79","53",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-14","0.00",,"76","52",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-15","0.00",,"77","52",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-16","0.00",,"69","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-17","0.00",,"71","52",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-18","0.00",,"79","52",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-19","0.00",,"71","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-20","0.00",,"73","53",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-21","0.00",,"73","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-22","0.00",,"81","52",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-23","0.00",,"81","52",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-24","0.00",,"72","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-25","0.00",,"72","54",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-26","0.00",,"72","53",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-27","0.00",,"75","50",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-28","0.00",,"80","50",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-29","0.00",,"80","50",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-30","0.00",,"73","58",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-07-31","0.00",,"79","52",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-01","0.00",,"76","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-02","0.00",,"78","53",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-03","0.00",,"77","52",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-04","0.00",,"76","56",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-05","0.00",,"80","54",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-06","0.00",,"86","55",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-07","0.00",,"89","55",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-08","0.00",,"85","55",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-09","0.00",,"72","53",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-10","0.00",,"73","57",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-11","0.00",,"74","52",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-12","0.00",,"73","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-13","0.00",,"72","53",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-14","0.00",,"83","52",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-15","0.00",,"83","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-16","0.00",,"86","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-17","0.00",,"87","55",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-18","0.00",,"86","52",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","2001-08-19","0.00",,"81","54",,,,,,,,,,,,,,,,
