"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT10","WT11","WT13","WT16","WT18","WT19","WT21","WT22"
"USC00043875","HEALDSBURG, CA US","2006-01-01","1.73",,"56","43",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-02","0.47",,"56","51",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-03","0.67",,"54","40",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-04","0.90",,"63","51",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-05","0.00",,"63","44",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-06","0.00",,"64","42",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-07","0.05",,"62","47",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-08","0.00",,"59","38",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-09","0.00",,"57","35",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-10","0.00",,"57","37",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-11","0.15",,"59","52",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-12","0.00",,"59","40",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-13","0.00",,"59","47",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-14","0.92",,"59","47",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-15","0.02",,"55","36",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-16","0.00",,"56","36",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-17","0.05",,"56","48",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-18","1.05",,"54","45",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-19","0.05",,"55","34",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-20","0.00",,"56","32",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-21","0.18",,"56","42",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-22","0.00",,,,,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-23","0.00",,"72","40",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-24","0.00",,"72","35",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-25","0.00",,"71","35",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-26","0.11",,"56","34",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-27","0.19",,"58","46",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-28","0.45",,"57","44",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-29","0.00",,"59","38",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-30","0.67",,"62","38",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-01-31","0.00",,"58","37",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-01","0.40",,"56","48",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-02","0.08",,"64","54",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-03","0.00",,"64","52",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-04","0.10",,"60","45",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-05","0.00",,"66","34",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-06","0.00",,"66","33",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-07","0.00",,"70","37",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-08","0.00",,"71","39",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-09","0.00",,"71","38",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-10","0.00",,"70","38",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-11","0.00",,"69","42",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-12","0.00",,"73","43",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-13","0.00",,"72","40",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-14","0.00",,"72","43",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-15","0.00",,"61","35",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-16","0.00",,"55","29",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-17","0.15",,"54","33",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-18","0.00",,"48","35",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-19","0.00",,"53","34",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-20","0.00",,"60","30",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-21","0.00",,"61","29",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-22","0.00",,"66","31",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-23","0.00",,"69","31",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-24","0.00",,"70","36",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-25","0.00",,"69","40",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-26","0.60",,"50","39",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-27","3.41",,"56","49",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-02-28","1.19",,"58","46",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-01","0.04",,"58","38",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-02","0.44",,"58","38",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-03","0.77",,"55","39",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-04","0.02",,"55","35",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-05","2.65",,"53","45",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-06","1.41",,"54","44",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-07","0.42",,"56","45",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-08","0.00",,"59","39",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-09","0.02",,"58","41",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-10","0.16",,"48","32",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-11",,,,,,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-12",,,"53","33",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-13","0.05",,"53","33",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-14","1.11",,"57","42",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-15","0.16",,"59","41",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-16","0.00",,"58","46",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-17","0.56",,"60","44",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-18","0.00",,"62","43",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-19","0.00",,"61","37",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-20","0.42",,"62","42",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-21","0.00",,"59","41",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-22","0.00",,"62","37",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-23","0.00",,"67","40",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-24","1.00",,"64","40",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-25","0.54",,"57","47",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-26","0.00",,"66","54",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-27","0.20",,"63","38",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-28","0.63",,"55","47",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-29","0.96",,"58","43",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-30","0.13",,"58","49",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-03-31","1.55",,"55","47",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-01","0.51",,"60","41",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-02","0.26",,"57","47",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-03","1.45",,"58","49",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-04","0.31",,"59","40",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-05","0.29",,"60","44",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-06","0.00",,"64","38",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-07","0.24",,"63","45",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-08","0.46",,"63","47",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-09","0.28",,"63","48",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-10","0.14",,"63","46",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-11","1.65",,"61","48",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-12","2.40",,"58","38",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-13","0.02",,"76","51",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-14","0.06",,"77","52",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-15","0.01",,"72","49",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-16","0.80",,"59","46",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-17","0.04",,"65","36",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-18","0.00",,"76","42",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-19","0.00",,"79","41",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-20","0.00",,"79","44",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-21","0.00",,"78","45",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-22","0.00",,,,,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-23","0.00",,"72","52",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-24","0.00",,"69","53",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-25","0.00",,"67","50",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-26","0.00",,"81","47",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-27","0.00",,"90","55",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-28","0.00",,"89","52",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-29","0.00",,,,,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-04-30","0.00",,"89","49",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-05-01","0.00",,"89","47",,,,,,,,,,,,,,,,
"USC00043875","HEALDSBURG, CA US","2006-05-02","0.00",,"88","47",,,,,,,,,,,,,,,,
