"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WT01","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT14","WT16","WT18"
"USC00047965","SANTA ROSA, CA US","1986-03-06","0.00",,"66","46",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-07","1.01",,"57","52",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-08","0.61",,"58","52",,,,"    1",,,,"    1",,,
"USC00047965","SANTA ROSA, CA US","1986-03-09","0.21",,"54","43",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-10","1.04",,"56","46",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-11","0.06",,"57","44",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-12","0.60",,"56","38",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-13","0.48",,"56","43",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-14","0.01",,"55","34",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-15","1.32",,"52","41",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-16","0.56",,"59","42",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-17","0.00",,"62","39",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-18","0.00",,"71","40",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-19","0.00",,"71","42",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-20","0.00",,"69","42",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-21","0.00",,"65","41",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-22","0.00",,"65","44",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-23","0.00",,"67","43",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-24","0.00",,"65","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-25","0.00",,"68","41",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-26","0.00",,"74","43",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-27","0.00",,"76","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-28","0.00",,"79","46",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-29","0.00",,"79","51",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-30","0.00",,"58","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-03-31","0.00",,"63","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-01","0.00",,"63","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-02","0.00",,"63","37",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-03","0.00",,"65","39",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-04","0.00",,"63","39",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-05","0.00",,"63","44",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-06","0.03",,"66","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-07","0.31",,"60","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-08","0.01",,"61","43",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-09","0.00",,"67","42",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-10","0.00",,"66","42",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-11","0.00",,"62","41",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-12","0.01",,"55","45",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-13","0.00",,"63","35",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-14","0.00",,"64","43",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-15","0.16",,"58","44",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-16","0.27",,"58","41",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-17","0.01",,"61","38",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-18","0.00",,"71","42",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-19","0.00",,"75","43",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-20","0.00",,"79","46",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-21","0.00",,"78","45",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-22","0.01",,"65","45",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-23","0.00",,"62","44",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-24","0.00",,"65","42",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-25","0.02",,"64","45",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-26","0.00",,"69","42",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-27","0.00",,"69","46",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-28","0.00",,"67","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-29","0.00",,"67","41",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-04-30","0.00",,"65","40",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-01","0.00",,"59","44",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-02","0.54",,"57","51",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-03","0.13",,"59","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-04","0.07",,"59","45",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-05","0.00",,"60","44",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-06","0.08",,"55","37",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-07","0.00",,"64","38",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-08","0.00",,"73","46",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-09","0.00",,"77","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-10","0.00",,"70","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-11","0.00",,"67","43",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-12","0.00",,"74","44",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-13","0.00",,"77","45",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-14","0.00",,"77","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-15","0.00",,"74","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-16","0.00",,"80","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-17","0.00",,"81","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-18","0.00",,"78","42",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-19","0.00",,"66","42",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-20","0.00",,"66","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-21","0.00",,"65","43",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-22","0.00",,"70","44",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-23","0.00",,"68","43",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-24","0.00",,"78","44",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-25","0.00",,"79","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-26","0.00",,"78","52",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-27","0.00",,"78","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-28","0.00",,"72","46",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-29","0.00",,"73","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-30","0.00",,"69","47",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-05-31","0.00",,"63","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-01","0.00",,"63","49",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-02","0.00",,"64","50",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-03","0.00",,"69","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-04","0.00",,"72","48",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-05","0.00",,"69","53",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-06","0.00",,"66","53",,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1986-06-07","0.00",,"74","50",,,,,,,,,,,
