"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT11","WT13","WT14","WT16","WT18","WT21","WT22"
"USC00047965","SANTA ROSA, CA US","1996-01-01","0.00",,"75","46",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-02","0.00",,"67","48",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-03","0.00",,"65","42",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-04","0.00",,"60","39",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-05","0.00",,"62","44",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-06","0.00",,"62","40",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-07","0.00",,"61","38",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-08","0.00",,"56","40",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-09","0.00",,"54","43",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-10","0.01",,"72","41",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-11","0.00",,"62","40",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-12","0.00",,"59","35",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-13","0.00",,"53","40",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-14","0.01",,"55","42",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-15","0.34",,"55","46",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-16","1.95",,"60","53",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-17","0.01",,"58","42",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-18","1.29",,"58","44",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-19","0.06",,"56","44",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-20","0.10",,"56","38",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-21","0.50",,"54","41",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-22","0.03",,"53","35",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-23","0.20",,"52","36",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-24","0.47",,"57","49",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-25","0.55",,"55","39",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-26","0.00",,"53","36",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-27","2.27",,"57","43",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-28","0.01",,"56","37",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-29","0.01",,"55","38",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-30","0.33",,"53","46",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-01-31","0.80",,"60","48",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-01","0.00",,"58","40",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-02","0.00",,"58","49",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-03","0.10",,"57","48",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-04","4.06",,"59","55",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-05","0.30",,"67","57",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-06","0.02",,"67","50",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-07","0.00",,"66","49",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-08","0.02",,"63","47",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-09","0.00",,"63","50",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-10","0.00",,"67","50",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-11","0.00",,"74","45",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-12","0.00",,"76","47",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-13","0.00",,"74","47",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-14","0.00",,"72","46",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-15","0.08",,"69","42",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-16","0.36",,"65","55",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-17","0.18",,"64","56",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-18","0.32",,"62","56",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-19","0.86",,"59","53",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-20","0.00",,"62","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-21","1.15",,"62","46",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-22","0.23",,"55","35",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-23","0.00",,"56","34",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-24","0.19",,"53","37",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-25","0.01",,"51","31",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-26","0.00",,"53","31",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-27","0.40",,"54","35",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-28","0.42",,"53","42",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-02-29","0.73",,"57","46",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-01","0.02",,"66","48",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-02","0.00",,"69","41",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-03","0.01",,"68","50",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-04","0.43",,"61","49",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-05","0.52",,"56","44",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-06","0.01",,"60","35",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-07","0.00",,"72","49",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-08","0.00",,"75","44",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-09","0.00",,"71","49",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-10","0.22",,"67","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-11","0.39",,"62","52",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-12","0.90",,"61","50",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-13","0.01",,"69","47",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-14","0.00",,"74","48",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-15","0.00",,"72","44",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-16","0.00",,"70","48",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-17","0.00",,"87","47",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-18","0.00",,"83","50",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-19","0.00",,"71","47",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-20","0.00",,"71","43",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-21","0.00",,"68","43",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-22","0.00",,,,,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-23","0.00",,"63","42",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-24","0.00",,"61","36",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-25","0.00",,"63","41",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-26","0.00",,"66","38",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-27","0.04",,"63","47",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-28","0.03",,"60","44",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-29","0.00",,"62","38",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-30","0.00",,"64","41",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-03-31","0.00",,"69","42",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-01","2.55",,"66","54",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-02","0.01",,"64","42",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-03","0.00",,"67","40",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-04","0.00",,"76","44",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-05","0.00",,"73",,,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-06","0.00",,"76","48",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-07","0.00",,"80","48",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-08","0.00",,"80","50",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-09","0.08",,"66","53",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-10","0.00",,"67","43",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-11","0.00",,"66","44",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-12","0.00",,"65","46",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-13","0.00",,"67","42",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-14","0.00",,"72","44",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-15","0.07",,"72","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-16","0.23",,"61","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-17","0.26",,"60","42",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-18","0.42",,"62","39",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-19","0.02",,"59","40",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-20","0.00",,"59","39",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-21","0.05",,"61","42",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-22","0.12",,"66","46",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-23","0.01",,"69","49",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-24","0.07",,"71","58",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-25","0.00",,"80","49",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-26","0.00",,"81","55",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-27","0.00",,"82","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-28","0.00",,"85","56",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-29","0.00",,"86","52",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-04-30","0.00",,"92","56",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-01","0.00",,"91","61",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-02","0.00",,"88","57",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-03","0.00",,"80","49",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-04","0.00",,"70","44",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-05","0.00",,"66","45",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-06","0.00",,"66","45",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-07","0.00",,"66","43",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-08","0.00",,"66","46",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-09","0.00",,"68","41",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-10","0.00",,"75","43",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-11","0.00",,"85","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-12","0.00",,"85","54",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-13","0.00",,"84","56",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-14","0.06",,"80","56",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-15","0.65",,"65","58",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-16","1.51",,"66","57",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-17","0.23",,"63","57",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-18","0.66",,"65","55",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-19","0.00",,"69","46",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-20","0.00",,"69","47",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-21","0.57",,"69","51",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-22","0.01",,"73","49",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-23","0.00",,"75","49",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-24","0.00",,"82","58",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-25","0.00",,"87","61",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-26","0.00",,"62","53",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-27","0.00",,"72","48",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-28","0.00",,"71","49",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-29","0.00",,"69","47",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-30","0.00",,"74","48",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-05-31","0.00",,"78","48",,,,,,,,,,,,,,,,
"USC00047965","SANTA ROSA, CA US","1996-06-01","0.00",,"86","54",,,,,,,,,,,,,,,,
